#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#intimidate ruler
shadow_scare_ruler;Intimidate Ruler for Favor;;;;;;;;;;;;;x
shadow_scare_ruler_desc;While carrying out your tasks for the Shadow Thieves, you have become proficient in the skills of blackmail and intimidation. You can attempt to scare someone in order to get a favor on them.;;;;;;;;x
shadow_scare_ruler_power_desc;Enables right clicking the portraits of other rulers in order to intimidate them into owing you a favor.;;;;;;;;x
#
#Shadow Arts
shadow_arts;Learn Shadow Arts;;;;;;;;;;;;;x
shadow_arts_desc;As a high ranking member of the Shadow Thieves, you have a profound knowledge of the criminal underworld and its denizens. Some of them may help you learn something useful.;;;;;;;;x
shadow_arts_power_desc;Gain the schemer, impaler or seducer lifestyle.;;;;;;;;x
#
#sabotage
shadow_sabotage;Sabotage Realm;;;;;;;;;;;;;x
shadow_sabotage_desc;As a Shadow Thief, you often employ all kinds of unsavory lowlife types. You can hire some of those goons to cause mayhem in another ruler's realm, plaguing one of their provinces with criminal activity.;;;;;;;;x
shadow_sabotage_power_desc;Enables right clicking the portraits of other rulers in order to sabotage one of their provinces.;;;;;;;;x
#
#Establish guild
establish_shadow_guild;Establish Shadow Guild;;;;;;;;;;;;;x
establish_shadow_guild_desc;The Shadow Thieves are the best criminal organization in Faerun. By establishing a guild in your lands, you can partake of a share of their illicit activities.;;;;;;;;;;;;;x
establish_shadow_guild_power_desc;Create a Shadow Thieves guild in your lands, for great profit. Right-click on the province shield of one of your demesne province to use the decision.;;;;;;;;;;;;;x
#
#Revenge Against Waterdeep
revenge_waterdeep;Revenge Against Waterdeep;;;;;;;;;;;;;x
revenge_waterdeep_desc;The Shadow Thieves used to be based in Waterdeep, but were forced out of the city by the Masked Lords. If only a member of the guild could be placed as Waterdeep's Open Lord, revenge could be taken.;;;;;;;;;;;;;x
revenge_waterdeep_power_desc;Destroy the Waterdeep duchy, creating a Shadow Thieves landed title in its place.;;;;;;;;;;;;;x
#
#No Previous Lifestyle trait - Choose one
EVTDESC_STH_1900;I have been with the Shadow Thieves for some time now, and perhaps it's time to delve further into the shadowy arts of manipulation. Which art should I choose?;;;;;;;;;;;;;x
EVTOPTA_STH_1900;I'll focus on secrecy and networking.;;;;;;;;;;;;;x
EVTOPTB_STH_1900;To conquer fear, I must become fear.;;;;;;;;;;;;;x
EVTOPTC_STH_1900;Lust and desire can destroy a kingdom.;;;;;;;;;;;;;x
EVTOPTD_STH_1900;I changed my mind. Perhaps another time.;;;;;;;;;;;;;x
#
#Has either Schemer Impaler or Seduction already
EVTDESCA_STH_1901;I have practiced the art of secrecy and coded communication for some time now. It's time to branch out.;;;;;;;;;;;;;x
EVTDESCB_STH_1901;My torture chamber has gotten a lot less crowded recently. Am I getting bored? What else could I do?.;;;;;;;;;;;;;x
EVTDESCC_STH_1901;The thrill of the chase, love, passion...I have experienced it all. Maybe it's time to move on.;;;;;;;;;;;;;x
EVTOPTA_STH_1901;Plots and schemes? Sounds like fun!;;;;;;;;;;;;;x
EVTOPTB_STH_1901;The art of high-stakes interrogation!;;;;;;;;;;;;;x
EVTOPTC_STH_1901;Love is a powerful tool, they say.;;;;;;;;;;;;;x
EVTOPTD_STH_1901;I changed my mind. Perhaps another time.;;;;;;;;;;;;;x
#
#Become Schemer
EVTDESC_STH_1902;To learn how to beat your clueless opponents from the shadows...it sounds really useful. However, where should I learn?;;;;;;;;;;;;;x
EVTOPTA_STH_1902;The real world is out there, on the streets.;;;;;;;;;;;;;x
EVTOPTB_STH_1902;I'll get more involved in court politics.;;;;;;;;;;;;;x
#
EVTDESC_STH_1903;Lying has become second nature to me. Sometimes, my lies are so convincing that I almost start believing them myself!;;;;;;;;;;;;;x
EVTOPTA_STH_1903;I will rule from the shadows.;;;;;;;;;;;;;x
#
#Become Impaler
EVTDESC_STH_1904;With the proper usage of the right tool, anyone can be broken. Should I focus on striking fear into the hearts of men and monster alike, or should I study the mysteries of living flesh?;;;;;;;;;;;;;x
EVTOPTA_STH_1904;Torture is the ultimate form of expression.;;;;;;;;;;;;;x
EVTOPTB_STH_1904;Anatomy is so interesting.;;;;;;;;;;;;;x
#
EVTDESC_STH_1905;My torture chamber is never entirely silent nowadays. I have learned much.;;;;;;;;;;;;;x
EVTOPTA_STH_1905;And there is so much more work to do.;;;;;;;;;;;;;x
#
#Become Seducer
EVTDESC_STH_1906;People do the stupidest things when faced by an appealing body and a confident voice. The power of attraction is great, and I will learn how to abuse it.;;;;;;;;;;;;;x
EVTOPTA_STH_1906;Time to organize a masked ball or three.;;;;;;;;;;;;;x
EVTOPTB_STH_1906;I'll secretly spend time in the local brothels.;;;;;;;;;;;;;x
#
EVTDESC_STH_1907;I don't think I've woken up in the same bed twice in the last few weeks. I've certainly learned a thing or two about seduction...;;;;;;;;;;;;;x
EVTOPTA_STH_1907;I am irresistible!;;;;;;;;;;;;;x
#
EVTOPTA_STH_1900_TOOLTIP;This art will lead to the schemer trait.;;;;;;;;x
#
EVTOPTB_STH_1900_TOOLTIP;This art will lead to the impaler trait.;;;;;;;;x
#
EVTOPTC_STH_1900_TOOLTIP;This art will lead to the seducer trait.;;;;;;;;x
#
#established guild
EVTDESC_STH_400;The Shadow Thieves have finally established a guild in your province. You are entitled to a share of their profits, so it's only a matter of time before wealth starts pouring in your coffers.;;;;;;;;;;;;;x
EVTOPTA_STH_400;Excellent.;;;;;;;;;;;;;x
#
#valuable obtained
EVTDESC_STH_401;One of the Shadow Thieves guilds in your lands has been busy, and they are now offering you a good share of their illicit gains.;;;;;;;;;;;;;x
EVTOPTA_STH_401;Now that's what I'm talking about.;;;;;;;;;;;;;x
#
#guild in trouble
EVTDESC_STH_402;One of the Shadow Thieves guilds in your lands is in deep trouble, facing destruction by the local authorities, and they are asking for your help to escape justice.;;;;;;;;;;;;;x
EVTOPTA_STH_402;Of course I'll help.;;;;;;;;;;;;;x
EVTOPTB_STH_402;Unfortunately, their time is up.;;;;;;;;;;;;;x
#
#hostile guild
EVTDESC_STH_403;The Shadow Thieves are deeply entrenched in one of your provinces, and they're disrupting your economy with their criminal activities.;;;;;;;;;;;;;x
EVTOPTA_STH_403;Damn them!;;;;;;;;;;;;;x
EVTOPTB_STH_403;We'll hire some adventurers to destroy them.;;;;;;;;;;;;;x
EVTOPTC_STH_403;Intriguing. I think I'll pay them a visit.;;;;;;;;;;;;;x
#
#Taking Waterdeep
EVTNAMESTH10000;Shadow Thieves in Waterdeep!;;;;;;;;;;;;;x
EVTDESC_STH_10000;The Shadow Thieves never forgot their forced exile from the City of Splendors, nor who was responsible for it. A powerful assassination squad loyal to them was recently allowed entrance at a secret meeting of the Masked Lords of Waterdeep, by none other than the current Open Lord! Many of the Masked Lords were killed in the ensuing chaos, and those that survived are now scattered or in hiding. The former Open Lord now rules alone, obviously backed by the Shadow Thieves behind the scenes.;;;;;;;;;;;;;x
EVTDESC_STH_10000_SHADOW;We never forgot our forced exile from the City of Splendors, nor who was responsible for it. Our best assassination squad was recently allowed entrance at a secret meeting of the Masked Lords of Waterdeep, by none other than the current Open Lord, which has been one us for some time. Many of the Masked Lords were killed in the ensuing chaos, and those that survived are now scattered or in hiding. The former Open Lord now rules alone, obviously backed by the might of our guild. Long live the Shadow Thieves!;;;;;;;;;;;;;x
EVTOPTA_STH_10000;Unbelievable!;;;;;;;;;;;;;x
EVTOPTB_STH_10000;At last, revenge.;;;;;;;;;;;;;x
#
#Shadow Heist Quest
EVTDESC_STH_1432;Greetings, [Root.GetSocietyRank] [Root.GetFirstName]. Soon, a great auction of magic items will take place in a realm not far from your base of operation. Do I need to say more?;;;;;;;;;;;;;x
#
#Get past the guards
EVTDESC_STH_1433;It's the night before the auction. All the precious magic items that are supposed to be auctioned tomorrow are already in the building, which is, as expected, under heavy surveillance. Your fellow shadow thieves look at you, their guildmaster. How do you want to handle this?;;;;;;;;;;;;;x
EVTOPTA_STH_1433;Mercenaries are easily swayed by gold.;;;;;;;;;;;;;x
EVTOPTB_STH_1433;I have planned for this. No one will see us.;;;;;;;;;;;;;x
EVTOPTC_STH_1433;Kill them all, let the gods sort them out.;;;;;;;;;;;;;x
EVTOPTD_STH_1433;I didn't expect this to be so risky. Let's leave.;;;;;;;;;;;;;x
#
#You're in
EVTDESC_STH_1434_A;Thanks to a massive bribe, you easily convinced the guards at the entrance to look the other way. You're inside the auction house, but you don't have enough time to loot the entire place. What are you looking for?;;;;;;;;;;;;;x
EVTDESC_STH_1434_B;Your infiltration plan went smoothly. You're inside the auction house, but you don't have enough time to loot the entire place. What are you looking for?;;;;;;;;;;;;;x
